name_a,type_a,name_b,type_b,similarity
交易的安全性,feature,交易安全,feature,0.9668725728988647
外圍層,feature,外部層,feature,0.9498034119606018
udp/tcp 協定,feature,udp 協定,feature,0.9347290992736816
實體安全技術,feature,實體安全,feature,0.9341238141059875
tls 協定,feature,tls 協議,feature,0.9301673173904419
tls,feature,tls/ssl,feature,0.9268405437469482
tcp連接埠,feature,連接埠,feature,0.9243744015693665
tcp/ip協定組,feature,tcp 協定,feature,0.923007071018219
操作安全,feature,安全性,feature,0.9200820922851562
ip 位址協定,feature,ip協定,feature,0.9116517305374146
無線通訊技術,feature,wifi 通訊技術,feature,0.9084450006484985
port 445,feature,tcp 445,feature,0.9071954488754272
ip協定,feature,ipsec協定,feature,0.9069184064865112
超低延遲,feature,低延遲,feature,0.9066327214241028
預設帳號,feature,系統預設帳號,feature,0.9063664674758911
ssl安全交易協定,feature,ssl 協定,feature,0.9060231447219849
堆疊,feature,堆積,feature,0.9055861234664917
連接埠 20/21,feature,連接埠 21,feature,0.905470073223114
接觸點,feature,金屬接觸點,feature,0.8985497355461121
通訊協定,feature,傳輸協定,feature,0.8955830335617065
接觸式介面,feature,非接觸式介面,feature,0.8930879235267639
ip協定,feature,tcp/ip協定組,feature,0.8923698663711548
udp/tcp 協定,feature,tcp 協定,feature,0.8912667036056519
生物特徵,feature,生理特徵,feature,0.8899263143539429
連接埠,feature,通訊埠,feature,0.8891884684562683
實體安全,feature,安全性,feature,0.8873903751373291
ssl/tls 交握協定,feature,tls 協定,feature,0.8844135403633118
tcp連接埠,feature,通訊埠,feature,0.8843318223953247
插槽 (socket),feature,插槽 (slot),feature,0.8838483095169067
tls 協定,feature,ssl 協定,feature,0.8831364512443542
http cookie,feature,cookies,feature,0.882979154586792
rts,feature,rtsps,feature,0.8822439908981323
ssl/tls 交握協定,feature,ssl安全交易協定,feature,0.8817695379257202
tls 協定,feature,tcp 協定,feature,0.8767828345298767
ssl 紀錄協定,feature,ssl 協定,feature,0.8756338357925415
開放連接埠,feature,連接埠,feature,0.8754597902297974
ssl/tls 交握協定,feature,ssl 協定,feature,0.8743441104888916
ip協定,feature,tcp 協定,feature,0.8720011115074158
ip協定,feature,協定,feature,0.8712237477302551
實體安全,feature,操作安全,feature,0.8706482648849487
關聯表,feature,關聯表實例,feature,0.8698056936264038
通訊協定,feature,tcp 協定,feature,0.8680100440979004
金鑰儲存,feature,金鑰封存,feature,0.8675457239151001
私人ipv4位址,feature,ipv4,feature,0.8674391508102417
關聯表,feature,關聯表綱要,feature,0.8668961524963379
ssl/tls 交握協定,feature,tls 協議,feature,0.8668403029441833
密碼保護,feature,金鑰保護機制,feature,0.864293098449707
安全工程,feature,安全性,feature,0.8624140620231628
安全工程,feature,建築物安全,feature,0.861913800239563
網路協定,feature,通訊協定,feature,0.8613390326499939
安全性,feature,系統及安全性,feature,0.8606706857681274
tls,feature,tls 協議,feature,0.860007643699646
ip協定,feature,通訊協定,feature,0.859604001045227
ipv4,feature,ip,feature,0.8592733144760132
用戶終端安全,feature,網路裝置安全,feature,0.8592467904090881
密碼保護,feature,加密,feature,0.8592365980148315
通訊埠 3389,feature,通訊埠 389,feature,0.859199047088623
udp/tcp 協定,feature,tcp/ip協定組,feature,0.8580100536346436
網路協定,feature,tcp 協定,feature,0.8550920486450195
堆疊,feature,堆疊 (stack),feature,0.8542487025260925
通訊協定,feature,tls 協定,feature,0.8541396260261536
實體安全,feature,資產安全,feature,0.8532693982124329
資產安全,feature,安全性,feature,0.852527379989624
加密技術,feature,加密,feature,0.8524455428123474
金鑰配發,feature,公開金鑰,feature,0.852196455001831
多輪運算 (iteration),feature,多輪運算,feature,0.8519710302352905
連接埠鏡射,feature,連接埠,feature,0.8519061207771301
實體安全,feature,網路裝置安全,feature,0.8515794277191162
ip協定,feature,網路協定,feature,0.8512536883354187
視網膜,feature,虹膜,feature,0.8509441614151001
dhcp 協定,feature,tcp 協定,feature,0.8499312996864319
網路域安全 (network domain security),feature,應用程式域安全 (application domain security),feature,0.8498436212539673
ip,feature,ip 架構,feature,0.8489332795143127
tls 協定,feature,ipsec協定,feature,0.8486378192901611
郵件文頭,feature,郵件本文,feature,0.8485610485076904
網路存取安全,feature,網路裝置安全,feature,0.8482534885406494
ip 層,feature,網際網路層,feature,0.8475701808929443
ip協定,feature,dhcp 協定,feature,0.8475682735443115
dhcp 協定,feature,ipsec協定,feature,0.8471134901046753
ip,feature,ip 位址,feature,0.8463284373283386
tcp 協定,feature,tls 協議,feature,0.845923900604248
安全性,feature,建築物安全,feature,0.8458845615386963
靜態特徵,feature,動態特徵,feature,0.8453181982040405
加密,feature,加密連線,feature,0.8444347381591797
tls 協定,feature,協定,feature,0.8443410992622375
開放連接埠,feature,tcp連接埠,feature,0.8438196778297424
交點錯誤率,feature,交叉錯誤率,feature,0.8433119058609009
用戶終端安全,feature,操作安全,feature,0.8430314660072327
用戶終端安全,feature,實體安全,feature,0.8407740592956543
ssl 協定,feature,ipsec協定,feature,0.8406732082366943
網路協定,feature,協定,feature,0.8405382633209229
