主體 (Subject),關係 (Relation),受體 (Object),來源,新增原因
app,can_expose,vulnerability,AISecKG,
attack,is_part_of,attack,AISecKG,
attack,can_harm,system,AISecKG,
attack,can_harm,app,AISecKG,
attack,can_harm,data,AISecKG,
attack,violates,principle,(新增),建立攻擊手法與資安原則（CIA）的邏輯關聯，用於損害評估。
attack,depends_on,tool,(新增),指出發動特定攻擊手法必須具備相應的攻擊工具支援。
attacker,can_exploit,vulnerability,AISecKG,
attacker,uses,feature,AISecKG,
attacker,uses,function,AISecKG,
attacker,uses,tool,AISecKG,
attacker,uses,technique,AISecKG,
attacker,implements,attack,AISecKG,
attacker,can_harm,app,AISecKG,
attacker,can_harm,data,AISecKG,
attacker,can_harm,system,AISecKG,
attacker,controls,system,(新增),描述攻擊者成功取得目標主機系統的最高控制權限。
attacker,connects_to,system,(新增),描述惡意軟體或中繼站對受害系統的實質控制行為。
data,can_expose,vulnerability,AISecKG,
feature,can_expose,vulnerability,AISecKG,
system,can_expose,vulnerability,AISecKG,
technique,implements,attack,AISecKG,
vulnerability,can_expose,risk,(新增),將技術弱點轉化為具體的風險指標，用於風險管理教學。
